[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | SQL: SELECT COUNT(id) AS tp_count FROM `thinklc_article_top` WHERE ( catid=4 AND Article.topstatus>0 AND Article.toptotime>=1370185666 ) LIMIT 1   [ RunTime:0.001283s ]
[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Tag[ view_template ] --START--
[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Run LocationTemplate Behavior [ RunTime:0.003251s ]
[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.003371s ]
[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Tag[ view_parse ] --START--
[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | NOTIC: [8] Undefined variable: searchkey 2e658b4e477fb88e12382f4634840003.php 第 62 行.
[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | NOTIC: [8] Undefined variable: AREA 2e658b4e477fb88e12382f4634840003.php 第 66 行.
[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | NOTIC: [8] Undefined variable: page 2e658b4e477fb88e12382f4634840003.php 第 101 行.
[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | NOTIC: [8] Undefined variable: list 2e658b4e477fb88e12382f4634840003.php 第 133 行.
[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | NOTIC: [8] Undefined variable: page 2e658b4e477fb88e12382f4634840003.php 第 154 行.
[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | NOTIC: [8] Undefined variable: havelink 2e658b4e477fb88e12382f4634840003.php 第 252 行.
[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | NOTIC: [2] Invalid argument supplied for foreach() ShowAboutWidget.class.php 第 9 行.
[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | NOTIC: [8] Undefined index: type ShowAboutWidget.class.php 第 13 行.
[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Run ParseTemplate Behavior [ RunTime:0.068924s ]
[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.069010s ]
[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Tag[ view_filter ] --START--
[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Run ContentReplace Behavior [ RunTime:0.001310s ]
[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Run TokenBuild Behavior [ RunTime:0.001362s ]
[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001089s ]
[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Run ShowRuntime Behavior [ RunTime:0.001207s ]
[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005209s ]
[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Tag[ view_end ] --START--
[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.002678s ]
[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.002799s ]
[ 2013-06-02T23:07:46+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ route_check ] --START--
[ 2013-06-02T23:07:46+08:00 ] /index.php/Member/public/userline.html | INFO: Run CheckRoute Behavior [ RunTime:0.002181s ]
[ 2013-06-02T23:07:46+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.002355s ]
[ 2013-06-02T23:07:46+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ app_begin ] --START--
[ 2013-06-02T23:07:46+08:00 ] /index.php/Member/public/userline.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001471s ]
[ 2013-06-02T23:07:46+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001594s ]
[ 2013-06-02T23:07:46+08:00 ] /index.php/Member/public/userline.html | NOTIC: [8] Undefined index: uc_enable BaseAction.class.php 第 15 行.
[ 2013-06-02T23:07:46+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ view_template ] --START--
[ 2013-06-02T23:07:46+08:00 ] /index.php/Member/public/userline.html | INFO: Run LocationTemplate Behavior [ RunTime:0.002760s ]
[ 2013-06-02T23:07:46+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.002922s ]
[ 2013-06-02T23:07:46+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ view_parse ] --START--
[ 2013-06-02T23:07:46+08:00 ] /index.php/Member/public/userline.html | INFO: Run ParseTemplate Behavior [ RunTime:0.020735s ]
[ 2013-06-02T23:07:46+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.021371s ]
[ 2013-06-02T23:07:46+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ view_filter ] --START--
[ 2013-06-02T23:07:46+08:00 ] /index.php/Member/public/userline.html | INFO: Run ContentReplace Behavior [ RunTime:0.001206s ]
[ 2013-06-02T23:07:46+08:00 ] /index.php/Member/public/userline.html | INFO: Run TokenBuild Behavior [ RunTime:0.001372s ]
[ 2013-06-02T23:07:46+08:00 ] /index.php/Member/public/userline.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001210s ]
[ 2013-06-02T23:07:46+08:00 ] /index.php/Member/public/userline.html | INFO: Run ShowRuntime Behavior [ RunTime:0.001265s ]
[ 2013-06-02T23:07:46+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005372s ]
[ 2013-06-02T23:07:46+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ view_end ] --START--
[ 2013-06-02T23:07:46+08:00 ] /index.php/Member/public/userline.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.001309s ]
[ 2013-06-02T23:07:46+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.001406s ]
[ 2013-06-02T23:08:23+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Tag[ route_check ] --START--
[ 2013-06-02T23:08:23+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Run CheckRoute Behavior [ RunTime:0.001768s ]
[ 2013-06-02T23:08:23+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.001896s ]
[ 2013-06-02T23:08:23+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Tag[ app_begin ] --START--
[ 2013-06-02T23:08:23+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001493s ]
[ 2013-06-02T23:08:23+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001610s ]
[ 2013-06-02T23:08:23+08:00 ] /index.php/article/cate/id/fasdfasd.html | SQL: SHOW COLUMNS FROM `thinklc_article` [ RunTime:0.005178s ]
[ 2013-06-02T23:08:23+08:00 ] /index.php/article/cate/id/fasdfasd.html | NOTIC: [8] Undefined variable: CATEGORY_LIST ArticleAction.class.php 第 43 行.
[ 2013-06-02T23:08:23+08:00 ] /index.php/article/cate/id/fasdfasd.html | NOTIC: [8] Undefined index: HTTP_REFERER ArticleAction.class.php 第 48 行.
[ 2013-06-02T23:08:23+08:00 ] /index.php/article/cate/id/fasdfasd.html | SQL: SELECT COUNT(id) AS tp_count FROM `thinklc_article` WHERE ( catid=4 AND (topstatus=0 OR toptotime<1370185703) AND status=1 AND topnum=1 AND (expired=0 OR expired>=1370185703) ) LIMIT 1   [ RunTime:0.000389s ]
